Sl No,                                                                          Prompts
310,"Closeup Portrait, 18 Years old, Seductive smirk, Undead, Skinny, View from below, Nylon Gloves, Mini skirt, Dress, Medieval clothes, Black hair, Long hair, Straight hair, Messy hair, Pale skin, Small breasts, Skinny thighs, Party, Warm light, Dark scene, Realism"
311,"Full body, 40 Years old, Makeup, White, Thick, Spreaded legs, Nurse costume, Choker, Diadem, Pullover, , Unbuttoned clothes, Unzipped clothes, Decollete, Blue hair, Straight hair, Long hair, , Oiled skin, White skin, Large breasts, Medium ass, Bed, Office, , 3D"
312,"Orgasm face, Chinese, Fit, On all fours, Choker, Mini skirt, Blouse, Unbuttoned clothes, Transparent clothes, Unzipped clothes, White hair, Long hair, Messy hair, Ponytail, Pale skin, Small breasts, Small ass"
313,"Crying, Korean, Skinny, View from below, Squatting, Naked, Corset, Purple hair, White hair, Pink hair, Blue hair, Gradient hair, Messy hair, Tanned skin, Small breasts, Small ass, Bed, Digital art, Realism, Anime"
314,"Happy face, Latina, Fit, View from below, Spreaded legs, Sport Bra, Cotton shorts, Stockings, Black hair, Short hair, Ponytail, Tanned skin, Pink skin, Small breasts, Fit thighs, Blooming garden, Forest, Dark scene, Anime, 2D, Sketch lines"
315,"Asian, Skinny, On all fours, Thong, Bra, Tight top, Mini skirt, Pink hair, Mulitcolor hair, Gradient hair, Messy hair, Medium hair, Small breasts, Small ass, Bed"
316,"Woman, Thai, 20-30 years old, busty, skinny, tits tan line, very big breasts, natural tits, saggy tits, big areola, hard nipples, round ass, skinny thighs, (beauty, seductive smirk, tender look, horny), she wears casual clothes, she has wool beanie, she has neckerlace/tie, she is wearing a fantasy t-shirt, the t-shirt is pulled up above the breasts, no bra, large colored braces, she wears an unbuttoned extra mini tight jeans shorts, no panties, no thong, she has pubic hair falling out of shorts, she has pussy and asshole visible from shorts, she has very hairy pussy, she has splashing wet vagina, she has big vagina’s lips and big clitoris, she wears garter belt, ((she has long ribbed (over the knee) woolen socks)), she wears bikers boots, she wears bracelets, earrings; she’s standing or sitting in seductive pose, horny posing, she’s spreading legs, she’s spreading ass and pussy; on side posing, view from above, cinematic light, she’s in a New York crowded pub, drinking a cocktail at the crowded counter bar."
317,"Fit, View from below, On all fours, Naked, Rounded breasts, Rounded ass, mini skirt, plaid skirt, pink hair, short hair, stilettos, braided hair, pigtails, cum, cum everywhere, cum on ass, heart, pillows, candy, small black backpack, spank, garter belt, red heart pillows, speech bubble, recording, cum on ass, lots of cum, cum in ass, back tattoo"
318,"Milf, 30 Years old, Makeup, Russian, Busty, Bra, Thong, Ginger hair, Long hair, Tanned skin, Large breasts, Busty thighs, Digital art"
319,"Woman, Makeup, Polynesian, Tribal clothing, Intricate clothes, Classic tattoos, Marvel style"
320,"White, Skinny, Striptease, Necklace, Sunglasses, Jeans shorts, Tight top, Unzipped clothes, Unbuttoned clothes, Intricate clothes, Pink hair, Piercing, Big breasts, Thick thighs, Street, (Style of Greg Rutkowski), (Style of Jordan Grimmer), 2D"
321,"Cute face, (Elemental:1.4), Skinny, Dynamic angle, Seductive pose, Naked, Cleavege, Decollete, Transparent clothes, Mulitcolor hair, Gradient hair, Long hair, Straight hair, Messy hair, Colored tattoos, Modern tattoos, Classic tattoos, Rounded breasts, Skinny thighs, , Bathroom"
322,"Woman, 18 Years old, Skinny, Small breasts, Small ass, Natural breasts, Cute face, Horny face, Full body, Bed, White hair, Transparent clothes, Intricate clothes, Cleavege, Choker, Thong, Unbuttoned clothes, Unzipped clothes, Topless"
323,"Long eyelashes, Fit, Striptease, Antique clothing, White skin, Natural breasts, Medium ass, Snow, Masterpiece, Anime"
324,"Persian, Fit, Mini skirt, Topless, Unbuttoned clothes, Black hair, Bobcut, Tanned skin, Rounded breasts, Skinny thighs, Office, Cinematic light, Soft light, Warm light, Masterpiece"
325,"Japanese, Muscular, Dynamic angle, Dress, , Transparent clothes, Blonde hair, Ponytail, Straight hair, Oiled skin, White skin, Big breasts, Thick thighs, Oasis, Warm light"
326,"Milf, Makeup, Busty, Spreaded legs, Latex suit, Latex gloves, Transparent clothes, Blonde hair, Oiled skin, Big breasts"
327,"whch, floating, ((angry)), furious, looking down, fit, nerdy, yelling, white hair, giant ass, fullbody, short hair, (skinny), glasses, ((short)), smug, skirt, ((looking at viewer)), fighting, fluffy hair, ((rough))"
328,"pale skin, anime girl face looking down at you, ((black hair)), ((medium messy hair)), ((white cat ears)), purple round eyes, short body, ((naked vagina)), narrow short chin, skinny body, flat chest, (((flat vagina))), sad face, view from floor, pussy, vagina, pussy, vagina, chained up with heavy chains, bruises her body"
329,"very and skinny middle in classroom secretly removing her skirt, panties still on, legs closed as she removes skirt, view of butt, cute, ((on her back)), anime style, low light"
330,"(b), nier automata, one girl, blue eyes, massive leg, hourglass body, same eye color ,k, correct body structure, beautiful background, complex backgrounds, machine backgrounds,(((fokus))), (erotik)"
331,"Woman, One, 20 Years old, Orgasm face, Busty, Naked, Choker, Ginger hair, Long hair, Ponytail, Braided hair, Oiled skin, Tanned skin, Big breasts, Busty thighs"
332,"gorgeous woman, [makeup], (undercut) red hair, gleaming intense red eyes, highly detailed pupils, flawless rosy skin, sexy cyberpunk fashion model, cleavage, with the good guys, flirting"
333,"space, stars, spaceship pilot girl, flying spaceship, helmet"
334,"((gigantic dildo stuffs the pussy full)), massive breasts, plus size, ahegao, only girls, , messy hair, , playing games"
335,"miku nakano ( toubun no hanayome), naked, pussy showing, asleep , legs spread, ass facing me, facing away from me, dripping wet pussy"
336,"a naked girl faces the viewer, sitting a chair appears short messy hair, ping hair, hands chained above her head, ankles chained the ceiling, anal sex toy, all white thighhighs, she smiles with pleasure"
337,"in lingerie, nightclub, large boobs, in bikini, hourglass body, korean, perfrct body, perfect face, kneeling"
338,"(((misato katsuragi))), (purple hair), ((sad)), (((yellow printed bikini))), (((adult))), (medium boobs), ((cleavage)), ((rocky beach)), ((((black eyeliner)))), (((face detail))), ((beautiful)), (blushing), (legs), ((standing))"
339,"((asuka langley)), (twin tails), (orange hair),((sad)), (((white printed bikini))), (((adult))), (medium boobs), ((cleavage)), ((rocky beach)), ((((black eyeliner)))), (((face detail))), ((beautiful)), (blushing), (legs), ((standing))"
340,"(sailor jupiter), (short ponytail), (brunette),((sad)), (((green printed bikini))), (((adult))), (medium boobs), ((cleavage)), ((rocky beach)), ((((black eyeliner)))), (((face detail))), ((beautiful)), (blushing), (legs), ((standing))"
341,"(sailor venus), (straight hair), (blonde hair),((sad)), (((orange printed bikini))), (((adult))), (medium boobs), ((cleavage)), ((rocky beach)), ((((black eyeliner)))), (((face detail))), ((beautiful)), (blushing), (legs), ((standing))"
342,"crouched woman marking pussy in short running pants, sweating , hard nipples , crop , sweating"
343,"(((blunt bangs))), (((ponytail))), ((purple hair)), (flirty smile), (((adult))), (big boobs), ((red eyes)), (((black makeup))), ((anime style)), ((nipples)), ((((nude)))), ((hoop earrings)),"
344,"((((straight hair)))), ((blunt bangs)), ((black hair)), ((red eyes)), (((smile))), ((((printed kimono)))), ((long skirt)), (flower hairpin), ((((woman)))), (big boobs), (((((japanese courtyard)))), (((black eye liner))), (((face detail))), ((beautiful)), ((standing)), ((((nighttime)))),"
345,"maid, sexy, nice tits, perfect ass, bun, mansion"
346,"(((duy huynh anime style))),((duy huynh hela)), duy huynh goddess of the underworld, (((duy huynh detailed face))), ((duy huynh masterpiece, duy huynh raw image, duy huynh rendered, duy huynh ray traced)), duy huynh full body, (((naked)))"
347,"black straight hair, tits, , ahegao, nerdy glasses, harbor, night time, night scene, alone, goth, goth makeup, pussy drool, dripping wet pusy, throat buldge, deep throat surprised"
348,"fire and ice girls, white hair and blue eyed girl, red hair and orange eyed girl, fire girl, ice girl, girls, gagging, deep throat, throated, eye closed, cumshot"
349,wet tshirt (seethrough) (nsfw) dress raining public embarrassed night
350,"red hair, (big tits), face, k, (shy orgasm expression), blue eyes, woman), (neko ears), skirt ,(hands), (tight wet white shirt, visible nipples) (black tights)"
351,"beautiful busty waifu, k uhd, highly detailed, soft lips, soft body, bikini"
352,"dark brown hair, slightly disheveled, creating a rebellious look honey eyes, intense and expressive, highlighting your strong personality wearing punk clothes, adorn leather jacket, opening jacket"
353,"(masterpiece), best quality, expressive face, perfect face, large breasts, smiling, blushing, onee-san, glowing eyes, sparkle eyes, expressive eyes, extreme detail eyes, stand, horny expression, (fitting portrait), hairline, perfect extreme detail hair, soft shadow, solo, thighs, 1girl, fern, long hair, purple eyes, bangs, purple hair, shirt, dress, white shirt, open clothes, white dress"
354,"(masterpiece), best quality, expressive eyes, perfect face, ((UHD)), (((dramatic lighting))), (((dramatic shading))), (perfect anatomy), (perfect hands), (extremely detailed body), (extremely detailed hand), (full body:1.2), ((lewd art, sexy art, lewd, NSFW)), 1girl, huntress, white hair, ponytail braid, ((tube top)), (((fur capelet, animal fur coat, shoulder cape))), (((sideboobs, underboobs))), open shirt, ((topless)), (toned abs), ((loincloth skirt)), ((large breasts, large thighs, big thighs, wide hips, large hips, small waist, muscles:1.2, muscular:1.2, athletic, stomach)), (serious), (((axe:1.4))), ((large metal axe, axe head)), (((holding an axe:1.4))), (((detailed axe))), in snow, snowy mountain, cabin in background, detailed cabin, blue sky, snowing"
355,"expressive eyes, perfect face, adult, basketball outfit, (big boobs:1.3), short pants, red shirt, underboobs, playing basketball, basketball court, ponytail, pink hair, blue eyes"
356,"((bimboed Sally Whitemane from World of Warcraft)), amazingly stunningly beautiful, perfect face, highly detailed face, (full wet lips), (whore smile), slutted smile, lustful face expression, highly detailed big eyes, ((Sally Whitemane hairstyle)), deep skin, shining skin, tanned skin, (((athletic yet slender body with abs and muscles))), proportional body, (wet body), perfect legs, perfect huge boobs, perfect big nipples, (((erect nipples))), (((super hard nipples))), (full body view), (((beach))), sensual pose, (spread legs), open legs, sexually aroused, lustful, wants sex, (((tiny fitted micro bikini))), ((ultra small micro bikini)), dabby micro bikini, (masterpiece), ultra detailed, flawless, (best quality), full HD, 16k, hyperrealistic, high quality lighting, (hyperanime art style), nsfw, SallyWhitemane, Sally Whitemane haircut, short hair, silver blond hair, red eyes, huge breasts, ((mature)), ((milf)), tonned body"
357,"18yo Lapa femjoy, pigtails, skinny waist, skinny legs, skinny figure, she is using the shower head to spray water on her pussy, small breasts, naked, topless, thigh gap, tight pussy, washing her breasts in the shower"
358,"1girl, (green hair, hair bun), (blue eyes), glasses, emotionless face, blank face, expressionless, serious, looking at viewer, doctor, scientist, (stethoscope, notepad), notes, ((wearing white lab coat)), wearing short pencil skirt, (blue shirt), large breasts, wide thighs, (sexy, lewd, NSFW), professional, erotic pose"
359,"(ultra high res,photorealistic,realistic,best quality,photo-realistic), (high detailed skin,visible pores),(real person,photograph), (((yellow hanfu,chinese style))),realistic,simple background,upper body, (8k, raw photo, best quality, masterpiece),(1 girl),photon mapping, radiosity, physically-based rendering,automatic white balance,(((haunting smile,long hair))),watery eyes, (blush|cute and playful|adorable|skinny|thick bangs|beauty|twintail|hair bun,),(looking at viewer),(irises and pupils are rounded,the pupil reflects the surroundings,eyes are not the same size)"
360,"(masterpiece, best quality),1girl with long white hair sitting in a field of green plants and flowers, her hand under her chin, warm lighting, white dress, blurry foreground"
361,"8k beautiful 1girl with long red long hair, H. R. Giger style, intricate, elegant, highly detailed, green eyes, majestic, digital photography, (masterpiece, sidelighting, finely detailed beautiful green eyes: 1.0), hdr, blurry, blurry_background, blurry_foreground, branch, cherry_blossoms, depth_of_field, looking_at_viewer, motion_blur, photo_\(medium\), photo_background, solo, tree, vibrant details, luxurious, absurdres, incredibly absurdres, white stocking, (realistic, photo-realistic:1), finely detail, best quality, lace, hyperrealistic, anatomical, facial muscles, extremely detailed CG unity 8k wallpaper, octane render, elegant, depth_of_field, blue butterfly, looking_at_viewer, extremely detailed "
362,"(masterpiece, best quality, ultra-detailed, best shadow), (detailed background,dark fantasy), (beautiful detailed face), high contrast, (best illumination, an extremely delicate and beautiful), ((cinematic light)), colorful, hyper detail, dramatic light, intricate details, (1 girl, solo,black hair, sharp face,low twintails,red eyes, hair between eyes,dynamic angle), blood splatter, swirling black light around the character, depth of field,black light particles,(broken glass),magic circle,"
363,"masterpiece, best quality, 1girl, (colorful),(finely detailed beautiful eyes and detailed face),cinematic lighting,bust shot,extremely detailed CG unity 8k wallpaper,white hair,solo,smile,intricate skirt,((flying petal)),(Flowery meadow) sky, cloudy_sky, building, moonlight, moon, night, (dark theme:1.3), light, fantasy,"
364,"Masterpiece, best-quality, ultra-detailed, (ethereal ice queen:1.3) standing sovereign in her glacial palace, her presence commanding yet alluring, as she is adorned in (ice crystal attire:1.3) that sparkles with a thousand frozen lights, sitting on throne, (legs crossed, thighs:1.2), legs, high heels, revealing, cleavage, large breasts, view from below,  (Translucent gown:1.2) sculpted from the purest ice, mimicking the delicate patterns of frost and snowflakes, each detail reflecting the harsh beauty of winter, and (crown of icicles:1.3) sitting atop her head, catching the dim light and scattering prisms around her,  (Skin like porcelain:1.2), touched by the cold, yet exuding an inner glow that belies the frigid air, her (eyes:1.3) piercing like the arctic sky, serene yet formidable power of the eternal winter,  (The throne room:1.2) a cathedral of ice, with towering spires and archways, all carved with the intricate history of her frozen realm, the air shimmering with a faint, otherworldly light,  (Her aura:1.3) fills the space with a chilling grace, the very air seems to crystallize in her presence, as she gazes out over her domain, a land of perpetual ice and snow, her rule absolute and unchallenged BREAK (short blonde hair, laced hair:1.2) "
365,"aalisa, long hair, hair flower, green eyes,big breasts,  Genshin Impact(aalisa, long hair, hair flower, green eyes,big breasts cclisa, long hair, hair flower, green eyes, witch hat, collarbone, bare shoulders, gold trim, purple leotard, black gloves, (pantyhose:1.2), ,Multiple Girls, ((2girls)) in full growth, best quality, masterpiece, ultra-detailed, high quality, (no panties), no bra, yuri, yuri sex, lesbi, lesbi kiss, lesbi sex, Best Boobs, (((nipples))), (((pussy))), (takes off clothes),  ((2girls)) in full growth, best quality, masterpiece, ultra-detailed, high quality, (lovers, yuri, lesbians, female couple: 1.2), kissing, hugging, girls caressing each other, kissing breasts, whore, seduction pose, lesbian, ((lesbian sex)), against will,  (no panties), no bra, 1girl in full growth, best quality, masterpiece, ultra-detailed, high quality, perfect nose, highly detailed skin, warm skin tone, defiance512, RAW photo, best quality, high resolution, (masterpiece), dreamlike, dreamy, modelshoot style, analog style, tonemapping, photorealistic, professional photography, sharp focus, HDR, 8K resolution, intricate detail, sophisticated detail, hyper detailed, (depth of field), highlight and shadow, volumetric lighting, cinematic bloom, professional light, looking at viewer, blotchy,"
366," Genshin Impact(aalisa, long hair, hair flower, green eyes,big breasts  collarbone, bare shoulders, gold trim, purple leotard, black gloves, (pantyhose:1.2),  Himeko, very long hair, red eyes, hair bow, twin_drills, twintails, long hair,cat ears, yellow cat ears,) ,Himeko, very long hair, red eyes, hair bow, twin_drills, twintails, long hair,cat ears, yellow cat ears, 1girl in full growth, best quality, masterpiece, ultra-detailed, high quality, perfect nose, highly detailed skin, warm skin tone, defiance512, RAW photo, best quality, high resolution, (masterpiece), dreamlike, dreamy, modelshoot style, analog style, tonemapping, photorealistic, professional photography, sharp focus, HDR, 8K resolution, intricate detail, sophisticated detail, hyper detailed, (depth of field), highlight and shadow, volumetric lighting, cinematic bloom, professional light, looking at viewer, blotchy,"
367,"(masterpiece, best quality, intricate details, highly detailed:1.2), 3d, realistic , highres, 8k, absurdres, skinny, mecha, science fiction, futuristic city, cybernetic bodysuit, short brown hair, fringe, big_breasts, cameltoe, underboob,"
368,"ultra detailed, best quality, high resolution, portrait of a beautiful girl,, ( princess gown, jewelry,:1.2),  (cute face, lush cheeks:1.3), (small breasts:1.0), cleavage,, center image, (long hair, hair over shoulders:1.5),  (blunt bangs:1.3),  (outdoor, :1.4), (blush:1.3), (head tilt,:1.4), (point of view, facing viewer, solo, mid shot:1.3), (depth of field:1.2), ( shiny lipstick, red lips:1.3), (very detailed lips, make up, eyes liner,:1.4), (pale skin, white skin:1.4), (glowing eyes:1.3), (glowing hair:1.2), (light brown hair:1.5), (light brown eyes:1.4), (naughty smile, naughty face:1.8),(very detailed body:1.2), (blush:1.2),  (bare hair, bare head:1.4),   standing:1.8),   (slightly closed eyes:1.1), (dark theme:1.4),  (plus size:1.3), (arms behind back:1.4), (bare neck, bare arms,:1.6),    (bare chest:1.2),"
369,"((masterpiece, best quality)), (((masterpiece, best_quality, highest quality))), (perfect detail, perfect skin:1.2),(highres), original,extremely detailed 8K wallpaper,(an extremely delicate and beautiful),incredibly_absurdres, intricate detail, distinct_image,extremely intricate,(detailed skin:1.3) , best quality:1.2, High definition, intricate details, finely detailed, beautiful detailed, high detailed skin, ((glossy skin)), shiny skin, (white skin:1.3), (pale skin:1.3),(natural light, ray tracing, volumetric light), (top quality), (golden-ratio face, perfect proportioned face, perfectly beautiful:1.3), (reflected diffuse light to face:1.3), (peer proportional face), (peer proportional body, proportional awesome body:1.3), parted lips, ((presenting)), (perfect anatomy, correct limb, correct finger), ((looking at viewer, eye contact)),((eye contact)), 1girl, outdoors, solo, flower, blue eyes, long hair, looking at viewer, long dressï¼hat, ocean, dress, sitting, white flower, sky, bug, hat flower, day, bangs, butterfly, water, long sleeves, blue sky, rock, cloud, orange dress, blonde hair, horizon, orange headwear, hair ornament, closed mouth, smile, hair flower, short sleeves, looking to the side, bird, scenery, mountainous horizon, red headwear, white dress"
370,"best quality, masterpiece,8k,ultra detailed,BREAK (futanari,erection,(large penis, large testicles:1.2),(veil, elbow gloves, yellow eyes, bangs, bare shoulders, purple dress, leotard, pantyhose),magic room  "
371,"masterpiece,best quality,1girl,AuraFrieren,horns,twin braids,necklace,beret,black jacket,open jacket,domino mask,denim shorts,pink tank top,expressionless,hands in pockets,city,dutch angle, "
372,"masterpiece,best quality,1girl,AuraFrieren,horns,twin braids,necklace,beret,black jacket,open jacket,domino mask,denim shorts,pink tank top,expressionless,hands in pockets,city,dutch angle, "
373,"best quality, ultra high res, 1girl, sleeveless white button shirt, black skirt, black choker, cute, (Kpop idol), (aegyo sal:1), (platinum blonde hair:1), ((puffy eyes)), looking at viewer, full body, facing front"
374,"makima \(chainsaw man\), best quality, ultra detailed, 1girl, solo, standing, red hair, long braided hair, golden eyes, bangs, medium breasts, white shirt, necktie, stare, smile, (evil:1.2), looking at viewer, (interview:1.3), (dark background, chains:1.3)"
375,"(masterpiece, best quality:1.2), (face focus:1.4), back focus, from behind, blonde hair, long hair, high ponytail, long ponytail, red eyes, long eyelashes, thick eyelashes, looking at viewer, red dress, backless dress, gold trim dress, puffy sleeves, juliet sleeves, long sleeves, red sleeves, (black background:1.2), light particles, blurry, bloom, shiny hair, "
376,"A real life photo of an adult woman on the stream bank, wide opened eyes, big eyeballs, swarthy skin, gray hair, jewelry, a crystal clear water stream, a sunny meadow, clouds, warm palette perfect shot, film grain"
377,"(masterpiece, best quality:1.2),  flick, 1girl, solo, breasts, sweater, large breasts, ribbed sweater, looking at viewer, blush, white sweater, hand on hip, turtleneck, pink hair, two side up, long sleeves, cowboy shot, bangs, sweater dress, open mouth, turtleneck sweater, grey eyes, long hair, hair between eyes, :o"
378,"sitting, Volumetric light, holding gift, Room background, Flat, masterpiece, best quality, purple hair, <lyco:iselestia_spring_gift:0.9>, iselestia_spring_gift, Cutout, Long hair, (Chinese clothes:0.8), From side"
379,"Generate an image of a demoness with massive tits, massive ass, huge thighs, she has red skin,  wearing a form-fitting skimpy metal outfit, sitting on a black and bloody  throne, looking down at viewer with a playful demanor with loose snow white hair with horns comingfrom her head, she has demonic black wings coming from her back, she has a red aura appearing as energy around her, beautiful face, her legs are crossed"
380,"1girl, cowboy shot, standing, from behind, looking back, short hair, blue hair, blue eyes, white dress, strapless dress, frilled dress, bare shoulder, bare arms, open mouth, smile, outdoors, beach, blue sky, sunlight"
381,"1girl, upper body, standing, from side, short hair, blue hair, blue eyes, black sweater, long sleeves, shoulder cutout, bare shoulders, closed mouth, smile, outdoors, city, cityscape, night, night sky"
382,"Masterpiece, best-quality, ultra-detailed, (ethereal ice queen:1.3) standing sovereign in her glacial palace, her presence commanding yet alluring, as she is adorned in (ice crystal attire:1.3) that sparkles with a thousand frozen lights, sitting on throne, (legs crossed, thighs:1.2), legs, high heels, revealing, cleavage, large breasts, view from below,  (Translucent gown:1.2) sculpted from the purest ice, mimicking the delicate patterns of frost and snowflakes, each detail reflecting the harsh beauty of winter, and (crown of icicles:1.3) sitting atop her head, catching the dim light and scattering prisms around her,  (Skin like porcelain:1.2), touched by the cold, yet exuding an inner glow that belies the frigid air, her (eyes:1.3) piercing like the arctic sky, serene yet formidable power of the eternal winter,  (The throne room:1.2) a cathedral of ice, with towering spires and archways, all carved with the intricate history of her frozen realm, the air shimmering with a faint, otherworldly light,  (Her aura:1.3) fills the space with a chilling grace, the very air seems to crystallize in her presence, as she gazes out over her domain, a land of perpetual ice and snow, her rule absolute and unchallenged BREAK (short blonde hair, laced hair:1.2)  "
383,"((solo)) (feral, Eevee), female, looking at viewer, best quality, shaded, extreme detail, highly detailed, long blonde curly hair, chest tuft, smile, wearing intricate nightie, Lying on the bed in a seductive pose, stroking her breasts, stroking her pussy, Her tail sways gently as she concentrates on the task at hand, adding to the whimsical atmosphere of this magical scene. The soft lighting and detailed surroundings create an immersive environment where imagination runs wild, ultra detailed, intricate, beautiful eyes, detailed face, good anatomy, Perfect eyes, vagina, tail up, hands, 5 fingers at hands, night, fog, flower, best quality, shaded, extreme detail, highly detailed, ultradetailed, intricate, top angle view, anus, vagina, lifted tail, realistic, detailed background, hi res, realistic, photography \(artwork\), (by kenket), by ross tran, by michael & inessa garmash, by pino daeni, by isvoc, by kiguri, by alena aenami, by ruan jia, (by zenthetiger, by wolfy-nail), by Enki Bilal, by drmax, hioshiru), top view, looks at the camera, nipples, breasts, butt, smile, looking pleasured "
384,"masterpiece, 1girl,   aaram, short hair, hair over one eye, bangs, hair ribbon, purple ribbon, x hair ornament, small breasts, roswaal mansion maid uniform, maid, neck ribbon, dress, frills, detached sleeves, long sleeves, (apron:1.2), black skirt, hands on hips, smug smile, looking at viewer, from above, palace garden in background"
385,"(masterpiece, best quality, detailed), 1girl, solo, looking at viewer, aaram,short hair,hair over one eye,bangs,hair ribbon,purple ribbon,x hair ornament,small breasts, leather jacket, leather pants, strapless bra, black jacket, tight pants, black chocker, zipper, fingerless gloves, biker clothes, spikes, unzipped, high collar,  pnkr, indoors, pink theme, purple theme, red theme, night, pink lighting, neon lights, cinematic lighting, fighting stance, clenched hands, legs apart, serious, closed mouth, v-shaped eyebrows, glaring"
386,"(masterpiece, best quality, detailed), 1girl, solo, looking at viewer, aaram,short hair,hair over one eye,bangs,hair ribbon,purple ribbon,x hair ornament,small breasts,   soccer uniform, cherry blossoms, petals, outdoors, tree, sky, wind,   (breasts squeezed together, v arms), smile, open mouth"
387,"(masterpiece, best quality, high detailed, 8k uhd:1.2),  teresa irs, necklace, black thigh boots, dress, (large breasts, long hair:1.1), cowboy shot, looking at viewer, (frontal, arms at side:1.3), slender, outdoors, science fiction, cityscape"
388,"(masterpiece, best quality, high detailed, 8k uhd:1.2),  teresa irs, 1girl, solo, slender, (large breasts), (parted lips:1.2), (long hair, bare legs, bare shoulders, collarbone:1.3), (underwear only:1.4), (black panties, black bra:1.2), (cowboy shot, looking away, sitting on bed:1.2), dawn, indoors, bedroom"
389,"(best quality, masterpiece, highres),1girl,solo,swept bangs,chinese clothes,long sleeves,shorts,chinese new year,Impossible shirt,airfield,dynamic_angle, red stroke,"
390,"(masterpiece, best quality, detailed), 1girl, solo, looking at viewer, aaram,short hair,hair over one eye,bangs,hair ribbon,purple ribbon,x hair ornament,small breasts, short sleeves, black pants, black necktie, red shirt, red gloves, jacket on shoulders, black jacket, outdoors, cyberpunk, city, night, city lights, neon lights, car, rain, dark, squatting, from below, spread legs, smile, parted lips, v-shaped eyebrows, smug"
391,"(best quality, masterpiece, highres),1girl,solo,dynamic_angle, low twintails,summer tank top,backless_dress,looking to the side,sony fe 100mm,,pink stroke,"
392,"(masterpiece, best quality, detailed), 1girl, solo, looking at viewer, aaram,short hair,hair over one eye,bangs,hair ribbon,purple ribbon,x hair ornament,small breasts,  edgPorcelain, wearing edgPorcelain_corset, gold, necklace, dress, indoors, wooden floor, fireplace, on floor, (persian carpet), fisheye, kneeling, from above, hand on own chest, parted lips, blush"
393,"1girl, best quality, detailed, high res, 8k, (breast grab:1.5), (masturbation:1.5), roof of tower, rain, wet shirt, night, cuming, spreads legs, tears, open mouth, tongue out    "
394,"((facing viewer)), (two-tone hair:1.2), mature female, (vibrant), dynamic pose, seducive, masterpiece, best quality, night, close-up, full body, string only micro bikini bottom, clothes_store, fitting room"
395,"[(warm colors,  emotional,  heartwarming:1.20) ::0.25],  (masterpiece:1.40),  (1female,  solo,  joyful),  [curly hair: shoulder-length hair: 0.60],  [green eyes: sparkling eyes: 0.70],  looking at viewer,  genuine smile,  (gift box:1.30),  [ribbon: shiny ribbon: 0.50] BREAK (festive atmosphere:1.15),  (decorated room:0.90),  (candlelight:1.10),  (soft glow:1.25),  (cozy setting:1.20),  (holiday spirit:1.30),  (colorful background:1.20)"
396,"masterpiece, best quality, 1girl, solo, (overlooking medieval town:1.25), forest, sky, ocean,  cleavage, purple hair, (low twintails, long hair:1), red eyes, hair between eyes, large breasts, covered nipples, white sandals, strappy heels, high heels, hand on head, bare shoulders, smile, white scrunchie, frilly white summer dress, straw hat, short skirt, sleeveless, windy, squatting, holding hat,"
397,"anime girl, in the style of frank thorne, romanticized femininity, makoto aida, elegant, emotive faces, close up "
398,"An anime girl relaxing at the beach, beach, tides, beautiful sunset sky, beach swimwear, Miami, ocean, (perfect anime quality, perfect face), photo quality, wavy brown hair, medium breasts, watching the sunset"
399,"beautiful female warrior, short blue hair, shimmering jewels armor, in the style of Alfons Mucha, with emphasis on light play and the transparency of the glass, High and short depth of field, Ray tracing, FHD, hyper quality "
400,"illustration, manga style, solid manga colors, wide angle, hyper detailed, full-length body shot: astonishling gorgeous fallen angel girl, wearing clothes of fire, long burning hair, horns, dominant standing posture, profound menacing dark eyes, giant wing, epic perfect female proportions, chaotic background"
401,"DE((Close-up portrait)), (RAW Photo), Stunning portrait of the beautiful Queen of the Cosmos, with suntan skin, sitting on an Etheral Throne, ((Gorgeous Long Curly Red Hair:1. 1)), Use warm tones and soft lighting."
402,"A western anime cowgirl, cowgirl, horses, outdoors, jeans, rough cowboy hat, western afternoon sky, horses in background, rural area, sand, western town, buildings, denim clothing, fringed cowboy shirt, sandy, perfect anime quality, masterpiece, perfect face, brown hair, hazel eyes, standing"
403,"fluffy nine tailed fox girl by Wlop and Guweiz, Hyper realistic , photography, real, professional, 8k, soft natural lighting"
404,"(best quality, masterpiece1.2), (detailed eye:1.2), complex detail, depth of field, 1girl, city, cyberpunk, neon, neon lights, night, moon, three-quarter view, breasts, string"
405,"Cherry blossoms bloom, Softly falling to the ground, Springtime's fleeting grace| dynamic pose |centered| key visual| intricate| highly detailed| breathtaking beauty| precise lineart| vibrant| comprehensive cinematic| Carne Griffiths| Conrad Roset| Anna Dittmann| dappled sunlight, "
406,"(((nami))), one piece, ghost, darkness, bright, heavenly, elegant, trending on Artstationart by artgerm and greg rutkowski and alphonse mucha"
407,"In one hand, the girl holds a bouquet of fragrant roses, their petals velvety soft and their colors ranging from a pale blush to a deep crimson. In the other hand, she holds a heart-shaped box of chocolates, each one intricately designed with a unique pattern and filled with decadent flavors that melt in your mouth. "
408,"Masterpiece, best quality, (1 girl), super sailor moon, denim shot, night sky, moonlight, evening, white gloves, blue eyes, galaxy background, multicolored clothes, sailor senishi uniform, multicolored skirt, hair ornament, red bow, brooch, heart brooch, earrings, crescent, heart necklace, heart, very long hair, crescent moon earrings, tiara, yellow necklace, boots, knee boots, red shoes"
